f,g,f_no_neg,g_no_neg,alpha,beta,gamma,n,k_gamma0,k_gamma,d0,d,ratio0,ratio
x^2*y^3 + 1 + x^-2*y^-2,1 + x^-1 + x^-2*y^-3,x^4*y^5+x^2*y^2+1,x^2*y^3+x*y^3+1,7,3,-3,42,4,4,6,4,3.43,1.52
x^2*y^3 + 1 + x^-2*y^-2,1 + x^-1 + x^-2*y^-3,x^4*y^5+x^2*y^2+1,x^2*y^3+x*y^3+1,7,3,-2,42,4,4,6,2,3.43,0.38
x^2*y^3 + 1 + x^-2*y^-2,1 + x^-1 + x^-2*y^-3,x^4*y^5+x^2*y^2+1,x^2*y^3+x*y^3+1,7,3,-1,42,4,4,6,4,3.43,1.52
x^2*y^3 + 1 + x^-2*y^-2,1 + x^-1 + x^-2*y^-3,x^4*y^5+x^2*y^2+1,x^2*y^3+x*y^3+1,7,3,0,42,4,4,6,6,3.43,3.43
x^2*y^3 + 1 + x^-2*y^-2,1 + x^-1 + x^-2*y^-3,x^4*y^5+x^2*y^2+1,x^2*y^3+x*y^3+1,7,3,1,42,4,4,6,6,3.43,3.43
x^2*y^3 + 1 + x^-2*y^-2,1 + x^-1 + x^-2*y^-3,x^4*y^5+x^2*y^2+1,x^2*y^3+x*y^3+1,7,3,2,42,4,4,6,4,3.43,1.52
x^2*y^3 + 1 + x^-2*y^-2,1 + x^-1 + x^-2*y^-3,x^4*y^5+x^2*y^2+1,x^2*y^3+x*y^3+1,7,3,3,42,4,4,6,6,3.43,3.43
x^2*y^3 + 1 + x^-2*y^-2,1 + x^-1 + x^-2*y^-3,x^4*y^5+x^2*y^2+1,x^2*y^3+x*y^3+1,7,3,4,42,4,4,6,4,3.43,1.52
x^2*y^3 + 1 + x^-2*y^-2,1 + x^-1 + x^-2*y^-3,x^4*y^5+x^2*y^2+1,x^2*y^3+x*y^3+1,7,3,5,42,4,4,6,2,3.43,0.38
x^2*y^3 + 1 + x^-2*y^-2,1 + x^-1 + x^-2*y^-3,x^4*y^5+x^2*y^2+1,x^2*y^3+x*y^3+1,7,3,6,42,4,4,6,4,3.43,1.52
